Incident,Date reported,Time reported,Date occurred,Time occurred,General Location,Crime Description,Disposition
OR21‐015,10/5/2021,22:14,10/5/2021,17:00,GREEN ST/WRIGHT ST,DECEPTIVE PRACTICES,REFERRED TO OTHER JURISDICTION
UU2118504,10/5/2021,7:03,10/4/2021,12:54,GREGORY ST/OREGON ST,CRIMINAL DAMAGE,REPORTED TO OTHER AGENCY
UU2118506,10/5/2021,7:03,10/4/2021,13:32,"701 W ELM ST, URBANA",THEFT,REPORTED TO OTHER AGENCY
UU2118523,10/5/2021,7:03,10/4/2021,18:06,"208 HARVEY ST, URBANA",THEFT,REPORTED TO OTHER AGENCY
CC2132886,10/6/2021,7:01,10/5/2021,18:50,"309 E GREEN ST, CHAMPAIGN",THEFT,REPORTED TO OTHER AGENCY
CC2132890,10/6/2021,7:01,10/5/2021,19:30,"519 E GREEN ST, CHAMPAIGN",DECEPTIVE PRACTICES,REPORTED TO OTHER AGENCY
CSA21‐086,10/6/2021,8:50,10/5/2021,19:00,FRATERNITY,ATTEMPTED RAPE,ADMIN CLOSED
CSA21‐087,10/6/2021,16:15,FALL 2021,UNKNOWN,ON CAMPUS,STALKING,ADMIN CLOSED
II2108138,10/6/2021,9:25,10/6/2021,9:25,ARMORY BUILDING,TRESPASS‐STATE SUPPORTED LAND,PENDING
II2108160,10/6/2021,14:32,10/6/2021,8:15,ELECTRICAL AND COMPUTER,CRIMINAL DAMAGE TO PROPERTY,PENDING
Incident,Date reported,Time reported,Date occurred,Time occurred,General Location,Crime Description,Disposition
II2108183,10/6/2021,21:42,10/1/2021,22:00,HOPKINS RESIDENCE HALL,THEFT OVER $500,PENDING
UU2116706,10/6/2021,0:00,8/27/2021,17:00,1000 blk of UNIVERSITY AV W,SEXUAL‐ASSAULT‐CRIMINAL,REPORTED TO OTHER AGENCY
CC2132990,10/7/2021,7:00,10/6/2021,15:33,"212 E GREEN ST, CHAMPAIGN",THEFT,REPORTED TO OTHER AGENCY
IF2100770,10/7/2021,1:13,10/7/2021,1:13,WESTON RESIDENCE HALL,LIQUOR‐UNDERAGE,ADMIN CLOSED
CC2133042,10/8/2021,7:00,10/7/2021,7:18,"102 E GREEN ST, CHAMPAIGN",DECEPTIVE PRACTICES,REPORTED TO OTHER AGENCY
CC2133053,10/8/2021,7:00,10/7/2021,9:20,"102 E GREEN ST, CHAMPAIGN",DECEPTIVE PRACTICES,REPORTED TO OTHER AGENCY
CC2133134,10/8/2021,7:00,10/7/2021,22:18,"508 STOUGHTON ST, CHAMPAIGN",ROBBERY,REPORTED TO OTHER AGENCY
II2108232,10/8/2021,2:32,10/8/2021,2:32,100 blk of GREEN E,RECKLESS DRIVING,PENDING
II2108232,10/8/2021,2:32,10/8/2021,2:32,100 blk of GREEN E,AGG FLEE/ATTEMPT ELUDE OFFICER,PENDING
II2108235,10/8/2021,5:58,10/8/2021,5:58,1300 blk of LINCOLN AVE N,METRO ACTIVATION,ADMIN. CLOSE
II2108257,10/8/2021,16:12,10/8/2021,16:10,ILLINI UNION,DISORDERLY CONDUCT‐ALL OTHER,PENDING
CC2133285,10/9/2021,7:03,10/8/2021,22:13,"508 E HEALEY ST, CHAMPAIGN",BURGLARY FROM MOTOR VEHICLE,REPORTED TO OTHER AGENCY
IF2100777,10/9/2021,1:10,10/9/2021,1:10,FIRST/GREEN,LIQUOR‐UNDERAGE,ADMIN CLOSED
IF2100782,10/9/2021,15:21,10/9/2021,15:21,LOT 31,DISORDERLY CONDUCT,ADMIN CLOSED
IF2100783,10/9/2021,22:24,10/9/2021,22:24,ILLINI UNION,LIQUOR‐UNDERAGE,ADMIN CLOSED
II2108289,10/9/2021,15:00,10/9/2021,15:00,MEMORIAL STADIUM,TRESPASS‐STATE SUPPORTED LAND,ARREST
II2108315,10/9/2021,23:40,10/9/2021,23:40,THIRD ST S / DANIEL,MIP ALCOHOL/LIQUOR,ARREST
UU2118863,10/9/2021,7:03,10/9/2021,2:28,"304 S BUSEY AVE, URBANA",SPECIFIC NOISE PROHIBITED,REPORTED TO OTHER AGENCY
CC2133420,10/10/2021,7:00,10/9/2021,19:33,"403 E WHITE ST, CHAMPAIGN",THEFT UNDER $500,REPORTED TO OTHER AGENCY
Incident,Date reported,Time reported,Date occurred,Time occurred,General Location,Crime Description,Disposition
CC2133423,10/10/2021,7:00,10/9/2021,20:13,"THIRD ST/JOHN ST, CHAMPAIGN",THEFT,REPORTED TO OTHER AGENCY
IF2100784,10/10/2021,2:03,10/10/2021,2:03,"245 CHALMERS ST, CHAMPAIGN",BATTERY,ADMIN CLOSED
IF2100785,10/10/2021,6:03,10/10/2021,6:03,BLAISDELL RESIDENCE HALL,LIQUOR‐UNDERAGE,ADMIN CLOSED
IF2100786,10/10/2021,3:33,10/10/2021,3:33,SNYDER RESIDENCE HALL,LIQUOR‐UNDERAGE,ADMIN CLOSED
IF2100787,10/10/2021,3:05,10/10/2021,3:05,SNYDER RESIDENCE HALL,LIQUOR‐UNDERAGE,ADMIN CLOSED
II2108319,10/10/2021,0:54,10/10/2021,0:54,900 blk of THIRD S,PUBLIC URINATION (C),ARREST
II2108321,10/10/2021,1:26,10/10/2021,1:26,300 blk of GREEN E,PUBLIC URINATION (C),ARREST
II2108349,10/10/2021,15:54,10/9/2021,14:00,ACTIVITIES AND RECREATION,THEFT OVER $500,STUDENT DISCIPLINE REFERRAL
UU2118897,10/10/2021,7:00,10/9/2021,14:03,"708 S GOODWIN AVE, URBANA",BURGLARY,REPORTED TO OTHER AGENCY
UU2118933,10/10/2021,7:00,10/10/2021,1:27,"HIGH ST/BUSEY AVE, URBANA",DISORDERLY CONDUCT,REPORTED TO OTHER AGENCY
CC2133546,10/11/2021,7:00,10/10/2021,18:32,"202 E GREEN ST, CHAMPAIGN",THEFT,REPORTED TO OTHER AGENCY
CC2133564,10/11/2021,7:00,10/10/2021,21:12,"207 S FIFTH ST, CHAMPAIGN",THEFT,REPORTED TO OTHER AGENCY
CSA21‐088,10/11/2021,10:33,9/27/2021,16:50,NEVADA/GREGORY,FONDLING,ADMIN CLOSED
II2108368,10/11/2021,3:52,10/11/2021,3:45,NUGENT RESIDENCE HALL,BATTERY‐DOMESTIC,ARREST
II2108377,10/11/2021,9:49,10/9/2021,16:30,KRANNERT ART MUSEUM,THEFT OVER $500,ADMIN. CLOSE
II2108391,10/11/2021,15:57,10/7/2021,23:30,NUGENT RESIDENCE HALL,THEFT OVER $500,UNFOUNDED
II2108403,10/11/2021,20:37,10/11/2021,20:37,ILLINI UNION,TRESPASS‐STATE SUPPORTED LAND,ARREST
UU2118984,10/11/2021,7:00,10/10/2021,18:34,"505 S COLER AVE, URBANA",BATTERY,REPORTED TO OTHER AGENCY
CC2133603,10/12/2021,7:05,10/11/2021,9:16,"1110 S SECOND ST, CHAMPAIGN",BURGLARY FROM MOTOR VEHICLE,REPORTED TO OTHER AGENCY
Incident,Date reported,Time reported,Date occurred,Time occurred,General Location,Crime Description,Disposition
CC2133609,10/12/2021,7:05,10/11/2021,10:07,"207 S FIFTH ST, CHAMPAIGN",THEFT,REPORTED TO OTHER AGENCY
CC2133613,10/12/2021,7:05,10/11/2021,10:26,"305 E DANIEL ST, CHAMPAIGN",THEFT,REPORTED TO OTHER AGENCY
CC2133626,10/12/2021,7:05,10/11/2021,12:01,"101 E GREEN ST, CHAMPAIGN",MOTOR VEHICLE THEFT,REPORTED TO OTHER AGENCY
CC2133643,10/12/2021,0:00,10/10/2021,23:30,900 blk of S FOURTH ST,BURGLARY RESIDENTIAL,REPORTED TO OTHER AGENCY
CC2133740,10/13/2021,7:02,10/12/2021,10:24,"502 E SPRINGFIELD AVE, CHAMPAIGN",DOMESTIC BATTERY,REPORTED TO OTHER AGENCY
CC2133759,10/13/2021,7:02,10/12/2021,12:32,"105 S FIFTH ST, CHAMPAIGN",MOTOR VEHICLE THEFT,REPORTED TO OTHER AGENCY
IF2100797,10/13/2021,1:32,10/13/2021,1:32,THIRD/JOHN,LIQUOR‐UNDERAGE,ADMIN CLOSED
IF2100799,10/13/2021,17:40,10/13/2021,17:40,"1114 W NEVADA, URBANA",MOTOR VEHICLE THEFT,UNFOUNDED
II2108473,10/13/2021,12:30,10/12/2021,16:00,MAIN LIBRARY BIKE RACK,THEFT $500 AND UNDER,PENDING
II2108486,10/13/2021,17:07,10/10/2021,3:00,HOPKINS RESIDENCE HALL,DISORDERLY CONDUCT‐ALL OTHER,ADMIN. CLOSE
CSA21‐090,10/14/2021,13:39,9/17/2021,UNKNOWN,RESIDENCE HALL,FONDLING,ADMIN CLOSED
IF2100805,10/14/2021,23:28,10/14/2021,23:28,WRIGHT/JOHN,LIQUOR‐UNDERAGE,ADMIN CLOSED
II2108528,10/14/2021,13:26,10/6/2021,16:00,WASSAJA BIKE RACK,THEFT OVER $500,PENDING
UU2119156,10/14/2021,0:00,10/11/2021,18:20,1000 blk of STOUGHTON ST,SEXUAL‐ASSAULT‐CRIMINAL,REPORTED TO OTHER AGENCY
CSA21‐091,10/15/2021,8:35,9/1/2021,UNKNOWN,IKENBERRY DINING HALL,STALKING,ADMIN CLOSED
CSA21‐093,10/15/2021,15:10,10/10/2021,UNKNOWN,PRIVATE APARTMENT,RAPE/STALKING,ADMIN CLOSED
IF2100806,10/15/2021,0:16,10/15/2021,0:16,HOPKINS RESIDENCE HALL,LIQUOR‐UNDERAGE,STUDENT DISC REFERRAL
IF2100807,10/15/2021,3:58,10/15/2021,3:58,EVANS RESIDENCE HALL,LIQUOR‐UNDERAGE,STUDENT DISC REFERRAL
IF2100824,10/15/2021,23:49,10/15/2021,23:49,200 E GREEN,LIQUOR‐ILLEGAL POSS. BY MINOR,ADMIN CLOSED
Incident,Date reported,Time reported,Date occurred,Time occurred,General Location,Crime Description,Disposition
II2108562,10/15/2021,9:30,10/15/2021,9:30,1700 blk of JOHN W,ASSIST OTHER POLICE DEPT,ADMIN. CLOSE
II2108568,10/15/2021,10:55,10/14/2021,16:30,SIEBEL CENTER,THEFT $500 AND UNDER,STUDENT DISCIPLINE REFERRAL
II2108574,10/15/2021,13:06,10/15/2021,8:15,SCOTT RESIDENCE HALL,THEFT $500 AND UNDER,PENDING
II2108579,10/15/2021,14:08,10/14/2021,16:00,HOPKINS HALL BIKE RACK,THEFT OVER $500,PENDING
UU2119253,10/15/2021,7:01,10/14/2021,17:07,"1004 W MAIN ST, URBANA",THEFT,REPORTED TO OTHER AGENCY
CC2134121,10/16/2021,7:04,10/15/2021,12:09,"51 E JOHN ST, CHAMPAIGN",BURGLARY FROM MOTOR VEHICLE,REPORTED TO OTHER AGENCY
IF2100811,10/16/2021,1:56,10/16/2021,1:56,BOUSFIELD RESIDENCE HALL,LIQUOR‐UNDERAGE,ADMIN CLOSED
IF2100820,10/16/2021,0:08,10/16/2021,0:08,THIRD/ARMORY,POSS ALCOHOL/LIQ PUBLIC PROP,ADMIN CLOSED
IF2100821,10/16/2021,23:03,10/16/2021,23:03,IKENBERRY DINNING,LIQUOR‐UNDERAGE,STUDENT DISC REFERRAL
IF2100822,10/16/2021,23:30,10/16/2021,23:30,ARMORY,LIQUOR‐UNDERAGE,ADMIN CLOSED
II2108601,10/16/2021,0:46,10/16/2021,0:46,UNIVERSITY AV W / LINCOLN AV N,BREATH ALCOHOL OVER LIMIT,ARREST
II2108601,10/16/2021,0:46,10/16/2021,0:46,UNIVERSITY AV W / LINCOLN AV N,DRIVING UNDER THE INFL‐ALCOHOL,ARREST
II2108633,10/16/2021,17:53,10/13/2021,18:45,700 blk of GREGORY ST S,THEFT $500 AND UNDER,PENDING
II2108643,10/16/2021,22:23,10/16/2021,22:23,FOURTH ST S / CHALMERS ST,MIP ALCOHOL/LIQUOR,ARREST
II2108645,10/16/2021,22:43,10/16/2021,22:43,600 blk of SECOND S,POSS ALCOHOL/LIQ PUBLIC PROP/PARKIN,ARREST
II2108647,10/16/2021,22:50,10/16/2021,22:50,THIRD / DANIEL,POSS ALCOHOL/LIQ PUBLIC PROP/PARKIN,ARREST
II2108652,10/16/2021,23:30,10/16/2021,23:30,200 blk of GREEN ST E,PUBLIC URINATION (C),ARREST
II2108656,10/16/2021,23:44,10/16/2021,23:44,THIRD / DANIEL,POSS ALCOHOL/LIQ PUBLIC PROP/PARKIN,ARREST
II2108656,10/16/2021,23:44,10/16/2021,23:44,THIRD / DANIEL,DISPOSAL ON PUBLIC WAYS,ARREST
Incident,Date reported,Time reported,Date occurred,Time occurred,General Location,Crime Description,Disposition
IT2100138,10/16/2021,0:17,10/16/2021,0:17,1400 blk of UNIVERSITY W,ILLEGAL TRANSPORTATION OF LIQUOR,ARREST
CC1210267,10/17/2021,0:00,10/14/2012,14:27,300 blk of E DANIEL ST,BURGLARY FROM MOTOR VEHICLE,REPORTED TO OTHER AGENCY
CC2134223,10/17/2021,7:02,10/16/2021,10:25,"505 STOUGHTON, CHAMPAIGN",DOMESTIC BATTERY,REPORTED TO OTHER AGENCY
IF2100816,10/17/2021,2:01,10/17/2021,2:01,CARR RESIDENCE HALL,LIQUOR‐UNDERAGE,ADMIN CLOSED
IF2100817,10/17/2021,0:30,10/17/2021,0:30,200 E DANIEL,LIQUOR‐UNDERAGE,ADMIN CLOSED
IF2100823,10/17/2021,1:45,10/17/2021,1:45,FLORIDA/LINCOLN,LIQUOR‐UNDERAGE,ADMIN CLOSED
IF2100827,10/17/2021,1:10,10/17/2021,1:10,GREEN/FIFTH,LIQUOR‐UNDERAGE,ADMIN CLOSED
II2108658,10/17/2021,0:04,10/17/2021,0:04,OAK ST S / JOHN,POSS ALCOHOL/LIQ PUBLIC PROP/PARKIN,ARREST
II2108702,10/17/2021,21:28,10/17/2021,20:40,WASSAJA RESIDENCE HALL,THEFT OVER $500,ADMIN. CLOSE
II2108748,10/17/2021,23:07,10/17/2021,22:05,500 blk of FOURTH ST S,ASSIST OTHER POLICE DEPT,ADMIN. CLOSE
CC2121478,10/18/2021,0:00,7/5/2021,18:30,1000 blk of S SECOND ST,SEXUAL‐ASSAULT‐CRIMINAL,REPORTED TO OTHER AGENCY
CSA21‐092,10/18/2021,10:30,10/10/2021,5:00,PRIVATE APARTMENT,RAPE,ADMIN CLOSED
II2108726,10/18/2021,13:34,10/14/2021,15:15,PHYSICAL PLANT SERVICES B,CRIMINAL DAMAGE GOVT SUPPORT PROP,ADMIN. CLOSE
II2108746,10/18/2021,22:09,10/13/2021,22:00,SNYDER RESIDENCE HALL,CRIMINAL DAMAGE TO PROPERTY,ADMIN. CLOSE
03539‐2021,10/19/2021,9:58,10/17/2021,2:30,WESTON RESIDENCE HALL,LIQUOR‐ILLEGAL POSS. BY MINOR,STUDENT DISC REFERRAL
CC2134451,10/19/2021,7:00,10/18/2021,13:53,"603 E CLARK ST, CHAMPAIGN",DOMESTIC BATTERY,REPORTED TO OTHER AGENCY
CC2134476,10/19/2021,7:00,10/18/2021,16:07,"706 S FIFTH ST, CHAMPAIGN",THEFT,REPORTED TO OTHER AGENCY
CC2134477,10/19/2021,7:00,10/18/2021,16:10,"307 E ARMORY AVE, CHAMPAIGN",THEFT,REPORTED TO OTHER AGENCY
CC2134508,10/19/2021,7:00,10/18/2021,21:10,"104 E ARMORY AVE, CHAMPAIGN",BURGLARY,REPORTED TO OTHER AGENCY
Incident,Date reported,Time reported,Date occurred,Time occurred,General Location,Crime Description,Disposition
